time,level,setpoint,inflow,error
0.0,30.0,50.0,3.4,20.0
1.0,32.91161794519106,50.0,2.3050249493175197,17.08838205480894
2.0,34.75217931518716,50.0,2.4794780547739146,15.247820684812837
3.0,36.722172675117534,50.0,2.5415636657818133,13.277827324882466
4.0,38.788009259889925,50.0,2.5544276608646745,11.211990740110075
5.0,40.7849335367817,50.0,2.542482177833894,9.2150664632183
6.0,42.853198599566234,50.0,2.4750246602694776,7.146801400433766
7.0,44.87208352866395,50.0,2.378163503470768,5.12791647133605
8.0,46.74758478814255,50.0,2.262830865241013,3.2524152118574534
9.0,48.56589593362841,50.0,2.1125413377194953,1.4341040663715887
10.0,50.14980797265588,50.0,1.9628739296865512,-0.14980797265587853
11.0,51.60531108304359,50.0,1.7916378434188964,-1.6053110830435884
12.0,52.8214863981319,50.0,1.6255569737123963,-2.8214863981319027
13.0,53.96497727875061,50.0,1.4355425617989939,-3.9649772787506095
14.0,54.896583719601274,50.0,1.2550444653103041,-4.896583719601274
15.0,55.586296999602,50.0,1.0864418553606887,-5.586296999601998
16.0,56.17085376854699,50.0,0.9098269286480362,-6.170853768546991
17.0,56.51171532717437,50.0,0.7576912267576912,-6.511715327174372
18.0,56.80281698292968,50.0,0.5950127166671707,-6.802816982929677
19.0,56.850113053373285,50.0,0.46547112782092914,-6.850113053373285
20.0,56.79779832917417,50.0,0.3397271733894933,-6.797798329174171
21.0,56.613644325687446,50.0,0.23246165118879736,-6.613644325687446
22.0,56.3270027506303,50.0,0.1397101322604271,-6.3270027506302995
23.0,56.00160945287899,50.0,0.054154859112686735,-6.001609452878988
24.0,55.50719756960643,50.0,0.0019030253238758073,-5.507197569606433
25.0,55.055115359564596,50.0,0.0,-5.055115359564596
26.0,54.58010391963821,50.0,0.0,-4.580103919638212
27.0,54.16623419016042,50.0,0.0,-4.1662341901604165
28.0,53.69050990677406,50.0,0.0,-3.6905099067740608
29.0,53.1344232496013,50.0,0.0,-3.134423249601298
30.0,52.628120348883286,50.0,0.0,-2.628120348883286
31.0,52.051110800485866,50.0,0.0202140712139951,-2.0511108004858656
32.0,51.53541279364769,50.0,0.03801003894689715,-1.5354127936476871
33.0,51.06944146756242,50.0,0.060732008166529836,-1.0694414675624202
34.0,50.730887831120036,50.0,0.07359873070622341,-0.730887831120036
35.0,50.30923439198415,50.0,0.11373437691480441,-0.30923439198414826
36.0,49.91539657751714,50.0,0.15341944557771797,0.08460342248285713
37.0,49.61410304584971,50.0,0.18663952368748846,0.38589695415029013
38.0,49.295343056584265,50.0,0.2334819843622482,0.7046569434157348
39.0,49.09871049800176,50.0,0.26506465872631696,0.9012895019982423
40.0,48.92183751829586,50.0,0.30332722738715906,1.0781624817041404
41.0,48.724087735633574,50.0,0.3496642910885355,1.2759122643664256
42.0,48.51824454177324,50.0,0.40028839019900614,1.4817554582267576
43.0,48.42510385344905,50.0,0.43546525668563707,1.5748961465509481
44.0,48.395163315749244,50.0,0.467396036609414,1.6048366842507562
45.0,48.457679738804394,50.0,0.48736795149006307,1.5423202611956057
46.0,48.47366369709251,50.0,0.5186229049577528,1.5263363029074881
47.0,48.43441652170343,50.0,0.5566208487464518,1.565583478296567
48.0,48.62415340815054,50.0,0.5537148888469209,1.3758465918494593
49.0,48.6429377796766,50.0,0.5875253218468353,1.3570622203233995
50.0,48.69294092517852,50.0,0.6071052500942802,1.3070590748214812
51.0,48.80166108566231,50.0,0.6172641615835611,1.1983389143376897
52.0,48.921344825618995,50.0,0.626320712101868,1.078655174381005
53.0,49.01951760214647,50.0,0.6371886305776514,0.9804823978535282
54.0,49.05393858875492,50.0,0.65585534963766,0.9460614112450827
